date,source,site_id,poc,pm2_5,units,daily_aqi_value,local_site_name,daily_obs_count,percent_complete,aqs_parameter_code,aqs_parameter_description,method_code,method_description,cbsa_code,cbsa_name,state_fips_code,state,county_fips_code,county,site_latitude,site_longitude
2017-12-06,AQS,060832004,1,16.2,ug/m3 LC,64,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-07,AQS,060832004,1,41.6,ug/m3 LC,116,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-08,AQS,060832004,1,53.4,ug/m3 LC,145,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-09,AQS,060832004,1,33.6,ug/m3 LC,97,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-10,AQS,060832004,1,46.4,ug/m3 LC,128,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-11,AQS,060832004,1,48,ug/m3 LC,132,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-12,AQS,060832004,1,33.7,ug/m3 LC,97,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-13,AQS,060832004,1,13.2,ug/m3 LC,59,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-14,AQS,060832004,1,16,ug/m3 LC,64,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-15,AQS,060832004,1,25.9,ug/m3 LC,82,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-16,AQS,060832004,1,13.1,ug/m3 LC,58,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-17,AQS,060832004,1,10.7,ug/m3 LC,54,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-18,AQS,060832004,1,13,ug/m3 LC,58,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-19,AQS,060832004,1,6.3,ug/m3 LC,35,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-20,AQS,060832004,1,3,ug/m3 LC,17,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-21,AQS,060832004,1,2.9,ug/m3 LC,16,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-22,AQS,060832004,1,4.9,ug/m3 LC,27,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-23,AQS,060832004,1,8.3,ug/m3 LC,46,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-24,AQS,060832004,1,12.4,ug/m3 LC,57,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-25,AQS,060832004,1,13.5,ug/m3 LC,59,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-26,AQS,060832004,1,7.5,ug/m3 LC,42,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-27,AQS,060832004,1,8.4,ug/m3 LC,47,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-28,AQS,060832004,1,7.3,ug/m3 LC,41,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-29,AQS,060832004,1,6.5,ug/m3 LC,36,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-30,AQS,060832004,1,8.8,ug/m3 LC,49,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-31,AQS,060832004,1,10.7,ug/m3 LC,54,Lompoc H Street,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.6378200008827,-120.4575
2017-12-06,AQS,060832011,1,72.6,ug/m3 LC,163,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-07,AQS,060832011,1,130.5,ug/m3 LC,206,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-08,AQS,060832011,1,77.2,ug/m3 LC,166,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-09,AQS,060832011,1,59.1,ug/m3 LC,154,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-10,AQS,060832011,1,84.9,ug/m3 LC,172,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-11,AQS,060832011,1,78.5,ug/m3 LC,167,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-13,AQS,060832011,1,60.9,ug/m3 LC,155,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-14,AQS,060832011,1,40.2,ug/m3 LC,113,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-15,AQS,060832011,1,40,ug/m3 LC,112,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-16,AQS,060832011,1,14.7,ug/m3 LC,61,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-17,AQS,060832011,1,15.6,ug/m3 LC,63,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-18,AQS,060832011,1,13.9,ug/m3 LC,60,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-19,AQS,060832011,1,13,ug/m3 LC,58,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-20,AQS,060832011,1,5,ug/m3 LC,28,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-21,AQS,060832011,1,5.5,ug/m3 LC,31,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-22,AQS,060832011,1,6.1,ug/m3 LC,34,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-23,AQS,060832011,1,6,ug/m3 LC,33,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-24,AQS,060832011,1,7.1,ug/m3 LC,39,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-25,AQS,060832011,1,9.7,ug/m3 LC,52,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-26,AQS,060832011,1,11.1,ug/m3 LC,55,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-27,AQS,060832011,1,10.3,ug/m3 LC,53,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-28,AQS,060832011,1,6.1,ug/m3 LC,34,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-29,AQS,060832011,1,5.9,ug/m3 LC,33,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-30,AQS,060832011,1,9.9,ug/m3 LC,52,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-31,AQS,060832011,1,14.7,ug/m3 LC,61,Goleta,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4455100008805,-119.8284
2017-12-06,AQS,060839000,1,1.6,ug/m3 LC,9,San Rafael Wilderness,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.",42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.733888868675,-120.00834936928
2017-12-09,AQS,060839000,1,11.1,ug/m3 LC,55,San Rafael Wilderness,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.",42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.733888868675,-120.00834936928
2017-12-12,AQS,060839000,1,2.8,ug/m3 LC,16,San Rafael Wilderness,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.",42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.733888868675,-120.00834936928
2017-12-15,AQS,060839000,1,15.4,ug/m3 LC,63,San Rafael Wilderness,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.",42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.733888868675,-120.00834936928
2017-12-18,AQS,060839000,1,10.6,ug/m3 LC,54,San Rafael Wilderness,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.",42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.733888868675,-120.00834936928
2017-12-21,AQS,060839000,1,2.2,ug/m3 LC,12,San Rafael Wilderness,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.",42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.733888868675,-120.00834936928
2017-12-24,AQS,060839000,1,2.1,ug/m3 LC,12,San Rafael Wilderness,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.",42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.733888868675,-120.00834936928
2017-12-30,AQS,060839000,1,1.7,ug/m3 LC,9,San Rafael Wilderness,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,707,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.",42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.733888868675,-120.00834936928
